text,label
All webhooks timing out causing third-party integrations to fail,Critical
Character counter in text area shows count slightly late,Medium
Bug report: notification emails landing in spam for all major providers,High
Sidebar menu collapses when switching tabs unexpectedly Happening since yesterday.,Medium
Map widget fails to load in all browsers using older hardware,High
Issue: Tab key order in the checkout form skips the CVV field,Medium
Bug report: minor typo in the welcome email: 'wellcome' instead of 'welcome',Low
Currency conversion rate shown differs from rate actually applied,Medium
Audio/video calls dropping every 5 minutes due to timeout bug,High
Progress bar in file upload doesn't show the percentage as a number,Low
Payment method removal option missing from account settings,High
Not a huge deal but the success message colors are confusing to me,Low
Honestly disappointed in the product — features I rely on keep breaking,Medium
COPY TO CLIPBOARD BUTTON GIVES NO VISUAL FEEDBACK AFTER ACTION,Medium
Two users editing same record simultaneously causing data loss,High
The 'clear all' button in filters doesn't reset date range field,Medium
Password strength meter accepting weak passwords as strong,High
Would be helpful to have a team directory with photos in the HR portal,Low
Sorting and filtering in data table producing wrong results,High
Sidebar menu collapses when switching tabs unexpectedly,Medium
Data table doesn't remember pagination setting on re-visit,Medium
Would appreciate more detailed product descriptions on the website,Low
Mass refund failure — our entire e-commerce platform stopped processing returns,Critical
API rate limit hitting even below documented threshold,High
Zero-day exploit being actively exploited in our infrastructure,Critical
Download button triggers for empty report without a warning,Medium
Would appreciate a plain-English summary of what data you collect and why,Low
Font size in the footer could be slightly larger for readability,Low
Onboarding checklist disappears too quickly after completion,Low
"Right to erasure request submitted twice, data still visible in my profile",High
Terms of service changed without proper advance notice as legally required,High
Integration with Slack broke after our last release,High
Transition animation when opening modal feels a bit abrupt,Low
"Cannot export data to CSV, button does nothing when clicked",High
Would like the option to export reports in Excel format too,Medium
Back button does not preserve scroll position in list views,Medium
Browser tab title not updating when switching between views,Medium
My order never arrived and tracking shows it was delivered two days ago,High
Customers receiving incorrect invoices with wrong amounts,High
Expense claim rejected erroneously — policy clearly covers this category,High
notifications are late again lol this keeps happening,Medium
My appointment was cancelled with less than an hour's notice via text message,High
Modal close button is placed on opposite sides in different dialogs,Low
Cookie consent banner obscures half the screen on mobile devices,Low
Test results were sent to the wrong patient — serious data privacy concern,High
Cookie settings reset to default every time I visit — preference not being saved,Medium
"License server expired, all enterprise users locked out now",Critical
Terms of service link in the footer is broken and leads to a 404 page,Low
Image previews take a few extra seconds to generate thumbnails,Medium
The app could use a 'what's new' section to highlight updates,Low
Team member invitation emails being rejected by mail server,High
Currency symbol missing from some input fields in settings,Medium
Solid tool but the auto-save feature seems to miss edits occasionally,Medium
"Entire microservices cluster is unresponsive, customers locked out",Critical
File upload fails for anything larger than 2MB unexpectedly,High
Email verification link expires immediately after being sent,High
Would like better tracking updates — the current system only shows two statuses,Medium
Collapsible sections stay open on page reload unexpectedly,Medium
My contract amendment was not updated in the HR system after four weeks,High
The product photos could be better — hard to judge actual size,Low
Some tooltips trigger on tap instead of hover on touch screens Please fix ASAP.,Medium
The 'clear all' button in filters doesn't reset date range field,Medium
Return process is unnecessarily complicated — too many steps to complete,Medium
"Redis cache server down, all DB queries timing out under load",Critical
"Data loss occurred after the server migration, backups missing",Critical
Numeric input allows typing letters which is confusing,Medium
All file uploads corrupted after storage bucket misconfiguration,Critical
CURRENCY SYMBOL MISSING FROM SOME INPUT FIELDS IN SETTINGS,Medium
Some tooltip messages are written in different capitalization styles,Low
Elasticsearch index corruption wiping out 6 months of data,Critical
Breadcrumb trail shows wrong parent category in some products,Medium
Complete system outage affecting all users right now,Critical
All webhooks timing out causing third-party integrations to fail Happening since yesterday.,Critical
System has been down for 3 hours and customers cannot access anything Please fix ASAP.,Critical
Like the interface but the mobile version is noticeably laggier than before,Medium
Issue: Copy-paste into the editor sometimes duplicates content,Medium
Onboarding tour overlay positions incorrectly on 4K displays,Medium
Copy-paste into the editor sometimes duplicates content,Medium
Issue: Search bar placeholder text disappears before user starts typing,Medium
Search takes about 5 seconds which is too slow for daily use Please fix ASAP.,Medium
Holiday calendar doesn't account for regional bank holidays automatically,Medium
Interest was calculated incorrectly on my savings account for three months,High
Cancel button label could say 'Go Back' for better user clarity This is very frustrating.,Low
Appointment reminder sent to old phone number despite updating my details,High
Help center link in footer points to an outdated article,Low
The color of the success message is hard to distinguish from warning,Low
Root server failure causing complete service unavailability,Critical
Loan application submitted two weeks ago with no status update at all,High
API rate limit hitting even below documented threshold,High
I enjoy using the tool but the export is a bit flaky since last update,Medium
Empty table placeholder text is generic — could be more helpful,Low
Side panel z-index overlaps notification toast on small screens Need resolution today.,Medium
Mobile onboarding screen is missing the skip button for returning users,Low
Two users editing same record simultaneously causing data loss,High
"Bug report: customer pii potentially exposed in server logs, gdpr risk",Critical
Minor frustration — the tab order in the form skips fields sometimes,Low
Localization missing for a few labels in the French locale Please fix ASAP.,Medium
Online banking app is slow to load during busy periods — minor but consistent,Medium
The color of the success message is hard to distinguish from warning Need resolution today.,Low
Your privacy policy is contradictory and unclear about data retention periods,Medium
Waited three hours past my scheduled appointment with no update or apology,High
User data syncing incorrectly between mobile and web apps,High
Would like the option to export reports in Excel format too,Medium
Bug report: mobile push notification service completely stopped delivering,Critical
Bug report: critical memory leak causing server to crash every 10 minutes,Critical
Wish there was a wishlist feature to save items for later,Low
Account lockout after one failed login attempt instead of five,High
Onboarding portal is confusing — new starters keep asking for walkthroughs,Medium
Children's personal data was collected without verifiable parental consent,Critical
This negligence is criminal — your firewall update blocked all our client traffic,Critical
"Webhook processing service crashed, missing hundreds of events",Critical
File upload fails for anything larger than 2MB unexpectedly,High
All backups found corrupt during emergency recovery attempt,Critical
Usually works well but the dashboard is loading slowly since the update,Medium
"Hover animation on cards is inconsistent — some scale, some don't",Low
"app is kinda slow lately, not urgent but pretty annoying ngl",Medium
Critical: appointment system double-booked an operating theatre for same time slot,Critical
Online patient portal is slow and frequently times out mid-session,Medium
Entire dev and staging gone; accidental terraform destroy,Critical
Inactive tab in dashboard still polls the server unnecessarily,Medium
I recommend you to everyone but this double charge has really shaken my trust,High
Product quality was noticeably lower than the photos on the website,Medium
Big fan of your service but my data sync has been broken for a full week,High
Mobile app losing internet connection randomly mid-session,High
Pension contribution system failed — contributions not processed for quarter,Critical
Good experience overall but the calendar widget has been misbehaving lately,Medium
The data export provided was incomplete — not all my data was included,Medium
System has been down for 3 hours and customers cannot access anything,Critical
Would like option to set a default view in dashboard on login,Low
My salary was incorrect this month — short by a significant amount,High
"You retained my data after my deletion request, violating your own policy",High
Emergency patch required: known exploit in current library version,Critical
Good platform overall but search results have been oddly slow this week,Medium
"Hi team, order was placed but confirmation email never arrived",High
Profile page header background is a bit plain and could be improved,Low
VPN gateway failure locking out all remote engineers in an incident,Critical
Transaction history showing incorrect timestamps for records,High
Leave application approved in system but not reflected in team calendar,High
Feedback: Browser tab title not updating when switching between views,Medium
ICONS IN THE NAVIGATION BAR FEEL SLIGHTLY TOO SMALL ON DESKTOP,Low
Entire dev and staging gone; accidental terraform destroy,Critical
Table header doesn't visually indicate which column is sorted,Low
Delivery was three days late with no proactive communication from the team,Medium
Breadcrumb trail shows wrong parent category in some products,Medium
"License server expired, all enterprise users locked out now",Critical
Social share button uses a default image instead of content image,Low
Page title in browser tab is too long and gets cut off awkwardly,Low
Favicon is missing from the admin panel tab,Low
Org chart in the system is several months out of date,Low
Profile page header background is a bit plain and could be improved,Low
Terms of service link opens in the same tab instead of new tab,Low
Payment method removal option missing from account settings This is very frustrating.,High
Dashboard analytics numbers do not match the actual database,High
The email notifications are quite delayed — usually 10 minutes,Medium
Utterly disappointed — I waited 2 hours on hold and nobody answered,High
All backups found corrupt during emergency recovery attempt,Critical
Printing module generating garbled text on all PDF exports This is very frustrating.,High
App crashes every time I try to open the checkout page,High
Issue: Font size in the footer could be slightly larger for readability,Low
"Production environment deleted by mistake, need immediate rollback",Critical
Received another customer's statement containing their full financial details,High
Markdown preview in editor not rendering bullet lists correctly,Medium
The password field toggle icon is barely visible on white background,Low
Icons in dropdown menu items are not vertically centered,Low
"SOS — system is totally cooked, cant access ANYTHING, clients going mad",Critical
Import/export jobs silently failing with no error messages,High
"Customer PII potentially exposed in server logs, GDPR risk",Critical
Bulk import failed midway and data is in inconsistent state,High
My account was handed to a debt collector in error — causing financial damage,High
Character counter in text area shows count slightly late,Medium
Dropdown arrow icon misaligned by a few pixels in Firefox,Low
Search results returning completely wrong data to users,High
Feedback: Email verification link expires immediately after being sent,High
Password strength meter accepting weak passwords as strong,High
"Not happy with the dark mode implementation, colors are really hard to read",Medium
Tracking number shows package in a different city — it's been lost,High
Appointment confirmation emails sometimes arrive after the appointment date,Medium
The loading message says 'Loading...' every time — could vary it,Low
Critical memory leak causing server to crash every 10 minutes,Critical
VPN gateway failure locking out all remote engineers in an incident,Critical
Mobile keyboard covers the input field on the login page,Medium
"Really good product but notifications have been delayed lately, a bit annoying",Medium
"SSL certificate expired, no one can access the site securely",Critical
I am absolutely furious that my payment was charged twice this month,High
"SMS OTP service down, users cannot complete 2FA login",Critical
Timesheet system sends duplicate reminder emails every day — quite irritating,Medium
My return was accepted but I haven't received the refund in three weeks,High
Preferred doctor option in booking ignored — different doctor assigned,Medium
Love the app overall but it crashes every time I reach the payment screen,High
Language preference in settings doesn't persist across sessions,Low
"Hi team, onboarding tour overlay positions incorrectly on 4k displays",Medium
Side panel z-index overlaps notification toast on small screens,Medium
Critical race condition causing data corruption in transactions,Critical
The 'Learn more' link in empty state has no destination,Low
Could benefit from a pinned note or sticky widget on dashboard This is very frustrating.,Low
Internal job board formatting is inconsistent across different postings,Low
"I've had it with this service, my subscription renewed without any warning",High
Integration with Slack broke after our last release,High
OAuth redirect URL mismatch error blocking all social logins,High
Long email addresses get truncated without an ellipsis or tooltip,Medium
the thing where you filter by date is messed up again fyi,Medium
the app keeps crashing every time i try to pay omg so annoying,High
Feedback: Some tooltip messages are written in different capitalization styles,Low
Your team is usually amazing but this billing error is costing me real money,High
Loading spinner keeps showing after data has already loaded,Medium
Follow-up call promised but never received after my procedure,Medium
Lazy-loading images sometimes flash before fully rendering,Medium
Would be helpful to see pending transactions alongside posted ones,Low
All email notifications silently failing for past 48 hours,Critical
Two-step verification process is cumbersome and slower than competitors,Medium
Medical device integration failed — patient monitoring data is not being recorded,Critical
Your cookie consent banner doesn't respect my preferences — tracking continues,High
Minor display glitch on the sidebar when resizing window Need resolution today.,Medium
Privacy policy is very long and written in complicated legal language,Low
You processed biometric data without a lawful basis — this is a legal violation,Critical
Loading skeleton shapes don't match the actual content layout,Low
Time zone displayed in notifications doesn't match user profile,Medium
Two-factor authentication codes are not being received,High
"Live trading engine down during market hours, clients furious This is very frustrating.",Critical
"charged me twice wtf, need a refund immediately please",High
Breadcrumbs are missing from several inner pages for navigation,Low
Graph rendering completely wrong after chart library upgrade Happening since yesterday.,High
Core banking system crashed — no transactions being processed at any branch,Critical
HR system breached — all employee personal records including salaries exposed,Critical
Root server failure causing complete service unavailability,Critical
Minor typo in the welcome email: 'Wellcome' instead of 'Welcome',Low
Page title in browser tab is too long and gets cut off awkwardly,Low
Webhook signature verification failing for valid payloads,High
The size guide on the website was inaccurate — product doesn't fit as expected,Medium
Emergency: live payment system is processing duplicate charges,Critical
Submit button label says 'Save' on one page and 'Update' on another Happening since yesterday.,Low
Background check system down — unable to onboard any new hires this month,Critical
Staff member was dismissive and rude during a sensitive consultation,High
Really like the platform but orders have been failing silently for two days,High
Dark mode colors are inconsistent across different sections,Medium
Mobile keyboard covers the input field on the login page Please fix ASAP.,Medium
App unable to resume from background on older Android phones,High
Icons in the navigation bar feel slightly too small on desktop,Low
Bank statement shows transactions I did not make — suspected fraud,High
Empty state illustration missing on the notifications page,Medium
Loyalty points not credited after purchase as described in the programme,Medium
"Hi team, application firewall blocking all legitimate traffic since upgrade",Critical
"Payment gateway down, losing thousands of dollars every minute",Critical
Elasticsearch index corruption wiping out 6 months of data,Critical
